source;target;pre_link;post_link
39065;12936;0;1
12945;12936;1;0
2682;12936;1;0
54372;12936;0;1
54376;12936;1;0
54381;12936;1;0
69531;12936;1;0
54391;12937;1;0
54376;12937;1;0
12948;12937;1;0
81867;12937;0;1
12925;12937;1;1
60719;12937;1;1
69531;12937;1;0
54370;12937;0;1
54368;12937;1;1
12939;12937;1;1
73834;12937;1;1
82797;12937;1;1
2682;12937;1;0
8295;12937;0;1
8924;12937;0;1
12936;12937;1;1
12926;12937;1;0
8912;12937;0;1
57200;12937;0;1
40069;12937;0;1
54365;12938;1;0
12933;12938;1;0
12943;12938;1;0
12923;12938;1;1
2703;12938;1;0
12930;12938;1;0
79804;12938;1;0
54389;12938;1;1
62161;12938;1;0
2698;12938;1;0
2705;12938;1;0
69531;12938;1;0
2684;12938;1;0
69531;12939;1;0
54376;12939;1;0
12945;12939;1;1
12948;12939;1;1
60719;12939;1;1
12937;12939;1;1
12925;12939;1;0
2682;12939;1;0
12936;12939;1;1
54392;12939;1;0
54391;12939;1;0
71025;12939;1;1
8295;12939;1;0
12928;12939;0;1
54393;12939;0;1
54371;12940;1;1
54377;12940;1;0
54385;12940;1;1
12943;12941;1;1
54388;12941;0;1
63112;12941;0;1
12923;12943;1;0
2703;12943;1;0
54389;12943;1;0
2705;12943;1;0
12938;12943;1;0
12941;12943;1;1
42884;12943;0;1
62161;12943;1;0
2684;12943;1;0
54365;12943;1;0
69531;12943;1;0
63112;12943;1;0
12930;12943;1;0
2698;12943;1;0
54370;12945;0;1
71025;12945;1;1
12939;12945;1;1
8295;12945;1;0
60719;12945;0;1
12936;12945;1;0
12948;12945;1;0
54386;12946;1;1
12951;12946;1;1
85423;12946;0;1
12922;12946;0;1
12929;12948;1;1
54368;12948;0;1
54364;12948;1;1
12926;12948;1;1
2693;12948;1;0
12939;12948;1;1
8295;12948;1;0
12932;12948;1;1
12934;12948;1;0
12925;12948;1;1
12923;12948;1;0
2687;12948;1;0
54376;12948;1;0
42882;12948;1;0
78976;12948;1;1
12928;12948;0;1
12937;12948;1;0
12924;12948;1;1
54390;12948;0;1
54392;12948;1;0
57200;12948;1;0
9781;12948;1;0
40071;12948;1;0
43126;12948;1;0
54372;12948;1;0
54391;12948;1;0
69531;12948;1;1
70492;12948;1;1
12945;12948;1;0
2686;12948;0;1
2682;12948;1;0
60719;12948;1;0
12936;12948;1;0
69278;12948;1;0
40085;12948;1;0
20522;12948;0;1
71126;12948;0;1
40069;12948;1;0
54381;12948;1;0
8924;12951;1;0
42893;12951;1;0
8912;12951;1;0
2694;12951;1;0
79664;12951;1;0
12946;12951;1;1
9532;12951;1;1
9542;12951;1;0
40068;20522;0;1
12933;20522;0;1
8923;20522;1;1
59662;20522;0;1
9779;20522;0;1
8910;20522;0;1
54365;20522;0;1
12934;20522;0;1
40086;20522;0;1
54393;20522;0;1
12948;20522;0;1
9777;20522;0;1
69278;22692;1;1
116508;22692;0;1
85782;22692;1;1
2703;22692;0;1
2686;22692;1;1
2684;22692;0;1
2693;22692;1;0
62161;22692;1;0
2687;22692;0;1
2690;22692;1;0
2698;22693;1;1
2695;22693;0;1
2705;22693;1;1
2691;22693;0;1
2686;22693;1;1
80349;22693;0;1
12925;22693;0;1
92805;22693;0;1
69531;22693;1;1
12932;22693;0;1
22695;22693;0;1
12924;22693;0;1
22693;22695;0;1
2698;22695;0;1
2688;22695;0;1
2697;22695;1;0
2691;22695;1;1
108863;22695;1;0
42877;36110;1;1
42872;36110;1;1
42894;36110;1;1
39050;36110;0;1
42873;36110;0;1
42878;36110;0;1
42891;36110;0;1
8293;39045;1;1
39068;39045;1;1
39061;39045;1;1
39052;39045;1;1
39070;39045;0;1
39075;39046;1;1
82083;39047;1;1
8294;39047;1;1
39053;39047;0;1
39051;39047;0;1
39071;39047;0;1
81867;39047;0;1
42876;39047;1;0
39077;39047;0;1
8294;39048;1;1
39060;39048;1;0
39056;39049;1;1
39069;39049;1;1
39066;39049;0;1
39070;39049;0;1
39078;39049;0;1
59063;39049;0;1
39057;39049;0;1
42891;39050;0;1
42878;39050;0;1
36110;39050;0;1
42877;39050;0;1
42872;39050;1;0
42873;39050;0;1
39053;39051;1;1
39069;39051;1;0
39077;39051;1;1
82164;39051;0;1
39047;39051;0;1
39069;39052;0;1
39056;39052;0;1
59063;39052;0;1
39045;39052;1;1
39078;39052;0;1
39077;39052;1;0
39077;39053;1;1
39051;39053;1;1
81867;39053;0;1
39047;39053;0;1
82164;39053;0;1
63462;39054;0;1
39063;39055;1;0
8290;39055;1;1
84346;39055;0;1
59063;39056;0;1
39078;39056;1;1
39069;39056;1;1
39074;39056;0;1
39049;39056;1;1
39057;39056;0;1
39052;39056;0;1
39066;39056;0;1
39066;39057;0;1
39056;39057;0;1
39068;39057;0;1
39078;39057;1;1
8293;39057;0;1
39049;39057;0;1
39072;39057;1;0
39071;39058;1;1
39073;39058;1;1
8290;39058;1;1
39075;39060;1;0
39048;39060;1;0
39067;39060;1;0
8294;39060;1;0
58541;39060;1;0
39045;39061;1;1
39068;39061;0;1
39078;39062;0;1
39074;39062;1;0
8291;39062;1;0
84346;39063;0;1
8293;39063;1;0
39073;39063;0;1
42872;39063;0;1
39055;39063;1;0
8290;39063;1;0
39068;39063;1;0
39070;39065;0;1
12936;39065;0;1
54368;39065;0;1
8295;39065;0;1
39078;39066;0;1
39049;39066;0;1
39056;39066;0;1
39067;39066;1;1
39057;39066;0;1
39060;39067;1;0
39066;39067;1;1
8293;39068;1;1
39045;39068;1;1
39063;39068;1;0
39057;39068;0;1
39061;39068;0;1
39070;39068;0;1
39077;39068;0;1
39056;39069;1;1
39052;39069;0;1
59063;39069;0;1
39051;39069;1;0
39078;39069;0;1
42871;39069;1;0
39070;39069;0;1
39049;39069;1;1
42881;39069;1;0
12936;39070;0;1
54368;39070;0;1
8295;39070;1;1
39065;39070;0;1
39068;39070;0;1
39045;39070;0;1
39069;39070;0;1
39049;39070;0;1
39047;39071;0;1
39058;39071;1;1
39079;39071;0;1
8290;39071;1;1
39057;39072;1;0
42877;39072;1;0
4549;39072;1;0
42872;39072;1;0
39058;39073;1;1
39063;39073;0;1
39062;39074;1;0
39056;39074;0;1
8291;39074;1;0
39078;39074;0;1
70430;39075;0;1
9537;39075;1;1
39046;39075;1;1
8291;39075;0;1
39060;39075;1;0
39047;39077;0;1
39053;39077;1;1
39051;39077;1;1
39068;39077;0;1
39052;39077;1;0
39069;39078;0;1
39049;39078;0;1
39066;39078;0;1
39056;39078;1;1
39074;39078;0;1
39057;39078;1;1
39062;39078;0;1
39052;39078;0;1
39071;39079;0;1
8913;40059;0;1
40080;40059;1;0
40081;40060;1;0
8910;40062;1;1
40078;40062;0;1
40074;40062;1;1
111483;40062;0;1
8908;40062;1;1
62161;40062;0;1
8914;40062;1;1
12931;40062;0;1
8912;40062;1;1
8917;40062;1;0
73991;40062;0;1
